May 16 19:33:10 research21 systemd[1]: Started snap.k8s.kube-controller-manager.service - Service for snap application k8s.kube-controller-manager.
May 16 19:33:10 research21 k8s.kube-controller-manager[36373]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:10 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:14 research21 k8s.kube-controller-manager[36994]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:14 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:18 research21 k8s.kube-controller-manager[37279]: Error from server (Forbidden): forbidden: User "system:node:research21" cannot get path "/readyz"
May 16 19:33:18 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + ulimit -c unlimited
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + export GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + [[ -f /var/snap/k8s/common/args/kube-controller-manager-env ]]
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + exec /snap/k8s/2500/bin/kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller.conf --authorization-kubeconfig=/etc/kubernetes/controller.conf --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --kubeconfig=/etc/kubernetes/controller.conf --leader-elect-lease-duration=30s --leader-elect-renew-deadline=15s --profiling=false --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/serviceaccount.key --terminated-pod-gc-threshold=12500 --tls-min-version=VersionTLS12 --use-service-account-credentials=true
May 16 19:33:23 research21 k8s.kube-controller-manager[36331]: I0516 19:33:23.577344   36331 serving.go:386] Generated self-signed cert in-memory
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924154   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="bfdprofiles.metallb.io"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924335   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="controllerrevisions.apps"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924531   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="ingresses.networking.k8s.io"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924585   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="roles.rbac.authorization.k8s.io"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924618   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="jobs.batch"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924719   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="servicel2statuses.metallb.io"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924764   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="ipaddresspools.metallb.io"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924801   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="podtemplates"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924894   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="cronjobs.batch"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924937   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="networkpolicies.networking.k8s.io"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924970   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="deployments.apps"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.924999   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="daemonsets.apps"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.925049   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="communities.metallb.io"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.925122   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="replicasets.apps"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: W0516 19:33:28.925160   36331 shared_informer.go:597] resyncPeriod 13h14m51.293463902s is smaller than resyncCheckPeriod 20h42m25.792578649s and the informer has already started. Changing it to 20h42m25.792578649s
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.925257   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="limitranges"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: W0516 19:33:28.925287   36331 shared_informer.go:597] resyncPeriod 16h14m54.793053304s is smaller than resyncCheckPeriod 20h42m25.792578649s and the informer has already started. Changing it to 20h42m25.792578649s
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.925346   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="serviceaccounts"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.925389   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="poddisruptionbudgets.policy"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.925440   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="endpoints"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.929625   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="statefulsets.apps"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.929684   36331 controllermanager.go:765] "Started controller" controller="resourcequota-controller"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.929710   36331 controllermanager.go:743] "Warning: skipping controller" controller="storage-version-migrator-controller"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.930063   36331 resource_quota_controller.go:300] "Starting resource quota controller" logger="resourcequota-controller"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.930115   36331 shared_informer.go:313] Waiting for caches to sync for resource quota
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: I0516 19:33:28.930146   36331 resource_quota_monitor.go:308] "QuotaMonitor running" logger="resourcequota-controller"
May 16 19:33:28 research21 k8s.kube-controller-manager[36331]: E0516 19:33:28.963130   36331 resource_quota_controller.go:446] "Unhandled Error" err="unable to retrieve the complete list of server APIs: metrics.k8s.io/v1beta1: stale GroupVersion discovery: metrics.k8s.io/v1beta1" logger="UnhandledError"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.078410   36331 controllermanager.go:765] "Started controller" controller="validatingadmissionpolicy-status-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.078533   36331 shared_informer.go:313] Waiting for caches to sync for validatingadmissionpolicy-status
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: E0516 19:33:29.336316   36331 namespaced_resources_deleter.go:162] "Unhandled Error" err="unable to get all supported resources from server: unable to retrieve the complete list of server APIs: metrics.k8s.io/v1beta1: stale GroupVersion discovery: metrics.k8s.io/v1beta1" logger="UnhandledError"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.337557   36331 controllermanager.go:765] "Started controller" controller="namespace-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.337639   36331 namespace_controller.go:202] "Starting namespace controller" logger="namespace-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.337659   36331 shared_informer.go:313] Waiting for caches to sync for namespace
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.475764   36331 controllermanager.go:765] "Started controller" controller="replicaset-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.475906   36331 replica_set.go:217] "Starting controller" logger="replicaset-controller" name="replicaset"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.475929   36331 shared_informer.go:313] Waiting for caches to sync for ReplicaSet
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.630146   36331 controllermanager.go:765] "Started controller" controller="cronjob-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.630188   36331 controllermanager.go:723] "Skipping a cloud provider controller" controller="service-lb-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.630332   36331 cronjob_controllerv2.go:145] "Starting cronjob controller v2" logger="cronjob-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.630354   36331 shared_informer.go:313] Waiting for caches to sync for cronjob
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.777971   36331 controllermanager.go:765] "Started controller" controller="persistentvolumeclaim-protection-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.778072   36331 pvc_protection_controller.go:168] "Starting PVC protection controller" logger="persistentvolumeclaim-protection-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.778093   36331 shared_informer.go:313] Waiting for caches to sync for PVC protection
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.930325   36331 controllermanager.go:765] "Started controller" controller="pod-garbage-collector-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.930434   36331 gc_controller.go:99] "Starting GC controller" logger="pod-garbage-collector-controller"
May 16 19:33:29 research21 k8s.kube-controller-manager[36331]: I0516 19:33:29.930468   36331 shared_informer.go:313] Waiting for caches to sync for GC
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.084084   36331 controllermanager.go:765] "Started controller" controller="endpointslice-mirroring-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.084133   36331 controllermanager.go:743] "Warning: skipping controller" controller="node-ipam-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.084147   36331 controllermanager.go:723] "Skipping a cloud provider controller" controller="node-route-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.084160   36331 controllermanager.go:717] "Controller is disabled by a feature gate" controller="volumeattributesclass-protection-controller" requiredFeatureGates=["VolumeAttributesClass"]
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.084405   36331 endpointslicemirroring_controller.go:227] "Starting EndpointSliceMirroring controller" logger="endpointslice-mirroring-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.084429   36331 shared_informer.go:313] Waiting for caches to sync for endpoint_slice_mirroring
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.285177   36331 controllermanager.go:765] "Started controller" controller="root-ca-certificate-publisher-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.285507   36331 publisher.go:107] "Starting root CA cert publisher controller" logger="root-ca-certificate-publisher-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.285531   36331 shared_informer.go:313] Waiting for caches to sync for crt configmap
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.383720   36331 controllermanager.go:765] "Started controller" controller="ephemeral-volume-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.383822   36331 controller.go:173] "Starting ephemeral volume controller" logger="ephemeral-volume-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.383843   36331 shared_informer.go:313] Waiting for caches to sync for ephemeral
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.525941   36331 controllermanager.go:765] "Started controller" controller="endpoints-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.531366   36331 endpoints_controller.go:182] "Starting endpoint controller" logger="endpoints-controller"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.531408   36331 shared_informer.go:313] Waiting for caches to sync for endpoint
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.540884   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.550147   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.550745   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.554505   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.554995   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.555233   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.555438   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.560002   36331 resource_quota_monitor.go:227] "QuotaMonitor created object count evaluator" logger="resourcequota-controller" resource="bgppeers.metallb.io"
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556230   36331 type.go:183] The watchlist request for controllerrevisions ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556252   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556342   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556358   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556440   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556529   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556566   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556859   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556877   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556929   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556942   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.556954   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.557354   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.557388   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.557434   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.560074   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.560096   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.560180   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: I0516 19:33:30.560771   36331 shared_informer.go:313] Waiting for caches to sync for resource quota
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.561799   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.582400   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.582595   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.582767   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.582850   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.583508   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.593551   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.597570   36331 type.go:183] The watchlist request for persistentvolumeclaims ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.597846   36331 type.go:183] The watchlist request for csistoragecapacities ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.598048   36331 type.go:183] The watchlist request for poddisruptionbudgets ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.598084   36331 type.go:183] The watchlist request for resourcequotas ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.598346   36331 type.go:183] The watchlist request for configmaps ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.598371   36331 type.go:183] The watchlist request for rolebindings ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.596911   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.597851   36331 type.go:183] The watchlist request for ingresses ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.596989   36331 type.go:183] The watchlist request for limitranges ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.599783   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.598355   36331 type.go:183] The watchlist request for cronjobs ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:30 research21 k8s.kube-controller-manager[36331]: W0516 19:33:30.600921   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
